distance,p
0.688275,101326
0.69,101326
0.691725,101326
0.69345,101326
0.695175,101326
0.6969,101326
0.698625,101326
0.70035,101326
0.702075,101326
0.7038,101326
0.705525,101326
0.70725,101326
0.708975,101326
0.7107,101326
0.712425,101326
0.71415,101326
0.715875,101326
0.7176,101326
0.719325,101326
0.72105,101326
0.722775,101326
0.7245,101326
0.726225,101326
0.72795,101326
0.729675,101326
0.7314,101326
0.733125,101326
0.73485,101326
0.736575,101326
0.7383,101326
0.740025,101326
0.74175,101326
0.743475,101326
0.7452,101326
0.746925,101326
0.74865,101326
0.750375,101326
0.7521,101326
0.753825,101326
0.75555,101326
0.757275,101326
0.759,101326
0.760725,101326
0.76245,101326
0.764175,101326
0.7659,101326
0.767625,101326
0.76935,101326
0.771075,101326
0.7728,101326
0.774525,101326
0.77625,101326
0.777975,101326
0.7797,101326
0.781425,101326
0.78315,101326
0.784875,101326
0.7866,101326
0.788325,101326
0.79005,101326
0.791775,101326
0.7935,101326
0.795225,101326
0.79695,101326
0.798675,101326
0.8004,101326
0.802125,101326
0.80385,101326
0.805575,101326
0.8073,101326
0.809025,101326
0.81075,101326
0.812475,101326
0.8142,101326
0.815925,101326
0.81765,101326
0.819375,101326
0.8211,101326
0.822825,101326
0.82455,101326
0.826275,101326
0.828,101326
0.829725,101326
0.83145,101326
0.833175,101326
0.8349,101326
0.836625,101326
0.83835,101326
0.840075,101326
0.8418,101326
0.843525,101326
0.84525,101326
0.846975,101326
0.8487,101326
0.850425,101326
0.85215,101326
0.853875,101326
0.8556,101326
0.857325,101326
0.85905,101326
0.860775,101326
0.8625,101326
0.864225,101326
0.86595,101326
0.867675,101326
0.8694,101326
0.871125,101326
0.87285,101326
0.874575,101326
0.8763,101326
0.878025,101326
0.87975,101326
0.881475,101326
0.8832,101326
0.884925,101326
0.88665,101326
0.888375,101326
0.8901,101326
0.891825,101326
0.89355,101326
0.895275,101326
0.897,101326
0.898725,101326
0.90045,101326
0.902175,101326
0.9039,101326
0.905625,101326
0.90735,101326
0.909075,101326
0.9108,101326
0.912525,101326
0.91425,101326
0.915975,101326
0.9177,101326
0.919425,101326
0.92115,101326
0.922875,101326
0.9246,101326
0.926325,101326
0.92805,101326
0.929775,101326
0.9315,101326
0.933225,101326
0.93495,101326
0.936675,101326
0.9384,101326
0.940125,101326
0.94185,101326
0.943575,101326
0.9453,101326
0.947025,101326
0.94875,101326
0.950475,101326
0.9522,101326
0.953925,101326
0.95565,101326
0.957375,101326
0.9591,101326
0.960825,101326
0.96255,101326
0.964275,101326
0.966,101326
0.967725,101326
0.96945,101326
0.971175,101326
0.9729,101326
0.974625,101326
0.97635,101326
0.978075,101326
0.9798,101326
0.981525,101326
0.98325,101326
0.984975,101326
0.9867,101326
0.988425,101326
0.99015,101326
0.991875,101326
0.9936,101326
0.995325,101326
0.99705,101326
0.998775,101326
1.0005,101326
1.00223,101326
1.00395,101326
1.00568,101326
1.0074,101326
1.00912,101326
1.01085,101326
1.01258,101326
1.0143,101326
1.01603,101326
1.01775,101326
1.01947,101326
1.0212,101326
1.02293,101326
1.02465,101326
1.02638,101326
1.0281,101326
1.02982,101326
1.03155,101326
1.03328,101326
1.035,101326
1.03673,101326
1.03845,101326
1.04017,101326
1.0419,101326
1.04362,101326
1.04535,101326
1.04708,101326
1.0488,101326
1.05052,101326
1.05225,101326
1.05397,101326
1.0557,101326
1.05743,101326
1.05915,101326
1.06087,101326
1.0626,101326
1.06433,101326
1.06605,101326
1.06778,101326
1.0695,101326
1.07122,101326
1.07295,101326
1.07468,101326
1.0764,101326
1.07812,101326
1.07985,101326
1.08158,101326
1.0833,101326
1.08503,101326
1.08675,101326
1.08847,101326
1.0902,101326
1.09193,101326
1.09365,101326
1.09538,101326
1.0971,101326
1.09882,101326
1.10055,101326
1.10228,101326
1.104,101326
1.10573,101326
1.10745,101326
1.10917,101326
