distance,T
0.481275,1591.54
0.483,1589.51
0.484725,1587.51
0.48645,1585.51
0.488175,1583.52
0.4899,1581.55
0.491625,1579.59
0.49335,1577.64
0.495075,1575.7
0.4968,1573.77
0.498525,1571.85
0.50025,1569.95
0.501975,1568.04
0.5037,1566.16
0.505425,1564.28
0.50715,1562.41
0.508875,1560.55
0.5106,1558.7
0.512325,1556.84
0.51405,1555.01
0.515775,1553.18
0.5175,1551.34
0.519225,1549.53
0.52095,1547.72
0.522675,1545.91
0.5244,1544.11
0.526125,1542.31
0.52785,1540.51
0.529575,1538.73
0.5313,1536.94
0.533025,1535.16
0.53475,1533.38
0.536475,1531.6
0.5382,1529.83
0.539925,1528.06
0.54165,1526.29
0.543375,1524.52
0.5451,1522.75
0.546825,1520.98
0.54855,1519.21
0.550275,1517.44
0.552,1515.67
0.553725,1513.89
0.55545,1512.12
0.557175,1510.35
0.5589,1508.56
0.560625,1506.78
0.56235,1505
0.564075,1503.21
0.5658,1501.41
0.567525,1499.62
0.56925,1497.81
0.570975,1496
0.5727,1494.19
0.574425,1492.37
0.57615,1490.54
0.577875,1488.71
0.5796,1486.87
0.581325,1485.02
0.58305,1483.17
0.584775,1481.3
0.5865,1479.43
0.588225,1477.55
0.58995,1475.65
0.591675,1473.75
0.5934,1471.84
0.595125,1469.91
0.59685,1467.98
0.598575,1466.03
0.6003,1464.07
0.602025,1462.1
0.60375,1460.11
0.605475,1458.11
0.6072,1456.11
0.608925,1454.08
0.61065,1452.03
0.612375,1449.99
0.6141,1447.91
0.615825,1445.82
0.61755,1443.74
0.619275,1441.6
0.621,1439.47
0.622725,1437.33
0.62445,1435.15
0.626175,1432.97
0.6279,1430.77
0.629625,1428.54
0.63135,1426.31
0.633075,1424.05
0.6348,1421.77
0.636525,1419.48
0.63825,1417.16
0.639975,1414.82
0.6417,1412.47
0.643425,1410.1
0.64515,1407.7
0.646875,1405.29
0.6486,1402.85
0.650325,1400.39
0.65205,1397.93
0.653775,1395.42
0.6555,1392.9
0.657225,1390.38
0.65895,1387.81
0.660675,1385.23
0.6624,1382.64
0.664125,1380.01
0.66585,1377.37
0.667575,1374.73
0.6693,1372.03
0.671025,1369.33
0.67275,1366.62
0.674475,1363.86
0.6762,1361.11
0.677925,1358.33
0.67965,1355.52
0.681375,1352.71
0.6831,1349.87
0.684825,1347
0.68655,1344.13
0.688275,1341.24
0.69,1338.31
0.691725,1335.39
0.69345,1332.43
0.695175,1329.46
0.6969,1326.48
0.698625,1323.47
0.70035,1320.44
0.702075,1317.41
0.7038,1314.35
0.705525,1311.27
0.70725,1308.2
0.708975,1305.08
0.7107,1301.95
0.712425,1298.83
0.71415,1295.67
0.715875,1292.52
0.7176,1289.35
0.719325,1284.97
0.72105,1280.59
0.722775,1276.21
0.7245,1272.94
0.726225,1271.56
0.72795,1270.18
0.729675,1268.8
0.7314,1267.42
0.733125,1265.09
0.73485,1260.85
0.736575,1256.61
0.7383,1252.36
0.740025,1248.12
